"Two or more races","29,473","(X)","12,930","(X)","16,543","(X)","41,903","(X)","17,971","(X)","23,932","(X)","44,990","(X)","21,832","(X)","23,158","(X)","44,752","(X)","22,577","(X)","22,175","(X)","3,982","(X)","1,618","(X)","2,364","(X)"
"    High school graduate or higher","21,936","74.4%","9,719","75.2%","12,217","73.8%","34,183","81.6%","14,918","83.0%","19,265","80.5%","35,148","78.1%","16,828","77.1%","18,320","79.1%","34,965","78.1%","17,780","78.8%","17,185","77.5%","3,332","83.7%","1,326","82.0%","2,006","84.9%"
"    Bachelor's degree or higher","7,746","26.3%","2,902","22.4%","4,844","29.3%","18,855","45.0%","8,066","44.9%","10,789","45.1%","17,957","39.9%","8,020","36.7%","9,937","42.9%","13,997","31.3%","6,379","28.3%","7,618","34.4%","1,550","38.9%","447","27.6%","1,103","46.7%"
"Hispanic or Latino Origin","494,733","(X)","222,387","(X)","272,346","(X)","318,198","(X)","151,414","(X)","166,784","(X)","294,995","(X)","138,044","(X)","156,951","(X)","425,758","(X)","211,700","(X)","214,058","(X)","51,052","(X)","24,581","(X)","26,471","(X)"
"    High school graduate or higher","317,808","64.2%","141,210","63.5%","176,598","64.8%","203,699","64.0%","96,075","63.5%","107,624","64.5%","201,565","68.3%","94,430","68.4%","107,135","68.3%","312,941","73.5%","154,755","73.1%","158,186","73.9%","39,540","77.5%","18,472","75.1%","21,068","79.6%"
"    Bachelor's degree or higher","59,679","12.1%","21,862","9.8%","37,817","13.9%","56,313","17.7%","25,467","16.8%","30,846","18.5%","74,099","25.1%","34,753","25.2%","39,346","25.1%","75,117","17.6%","34,049","16.1%","41,068","19.2%","9,188","18.0%","3,650","14.8%","5,538","20.9%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","38.0%","(X)","31.5%","(X)","43.4%","(X)","32.6%","(X)","28.5%","(X)","36.3%","(X)","40.4%","(X)","33.2%","(X)","46.7%","(X)","20.6%","(X)","16.3%","(X)","24.1%","(X)","31.2%","(X)","25.2%","(X)","36.5%"
"    High school graduate (includes equivalency)","(X)","23.6%","(X)","17.0%","(X)","29.9%","(X)","20.8%","(X)","17.5%","(X)","23.8%","(X)","25.3%","(X)","22.2%","(X)","27.9%","(X)","12.6%","(X)","10.1%","(X)","15.0%","(X)","13.4%","(X)","10.5%","(X)","15.7%"
"    Some college or associate's degree","(X)","20.0%","(X)","17.6%","(X)","21.8%","(X)","16.2%","(X)","13.3%","(X)","18.7%","(X)","17.7%","(X)","14.8%","(X)","20.3%","(X)","10.2%","(X)","8.5%","(X)","11.7%","(X)","8.7%","(X)","6.2%","(X)","11.6%"
"    Bachelor's degree or higher","(X)","10.1%","(X)","9.0%","(X)","10.8%","(X)","7.8%","(X)","6.5%","(X)","8.7%","(X)","6.3%","(X)","5.7%","(X)","6.9%","(X)","6.4%","(X)","5.4%","(X)","7.2%","(X)","4.9%","(X)","5.0%","(X)","4.9%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","30,336","(X)","31,595","(X)","27,240","(X)","40,105","(X)","41,963","(X)","36,843","(X)","61,878","(X)","69,762","(X)","55,990","(X)","38,323","(X)","41,012","(X)","35,565","(X)","51,213","(X)","57,189","(X)","42,489","(X)"
"        Less than high school graduate","19,466","(X)","21,878","(X)","15,602","(X)","20,339","(X)","21,819","(X)","16,782","(X)","19,432","(X)","23,186","(X)","12,736","(X)","21,376","(X)","25,543","(X)","17,384","(X)","25,676","(X)","30,370","(X)","16,100","(X)"
"        High school graduate (includes equivalency)","25,932","(X)","31,733","(X)","19,970","(X)","27,425","(X)","31,699","(X)","23,491","(X)","26,207","(X)","30,285","(X)","20,624","(X)","30,084","(X)","32,080","(X)","24,278","(X)","40,549","(X)","51,224","(X)","30,880","(X)"
"        Some college or associate's degree","31,275","(X)","31,577","(X)","30,849","(X)","36,011","(X)","40,959","(X)","31,666","(X)","33,660","(X)","38,842","(X)","29,382","(X)","38,088","(X)","41,381","(X)","33,893","(X)","47,425","(X)","52,358","(X)","36,047","(X)"
"        Bachelor's degree","45,302","(X)","50,668","(X)","41,600","(X)","54,100","(X)","60,172","(X)","51,088","(X)","76,549","(X)","87,367","(X)","66,659","(X)","51,955","(X)","56,473","(X)","49,278","(X)","61,439","(X)","66,859","(X)","53,062","(X)"
"        Graduate or professional degree","62,145","(X)","65,840","(X)","61,019","(X)","71,253","(X)","81,291","(X)","63,978","(X)","95,252","(X)","125,446","(X)","77,271","(X)","67,102","(X)","72,284","(X)","62,321","(X)","75,494","(X)","81,968","(X)","70,613","(X)"
