"Label (Grouping)","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate"
"    High school graduate or higher","169,310","78.3%","78,582","76.5%","90,728","80.0%","405,295","87.8%","191,635","86.2%","213,660","89.3%","346,160","94.1%","161,274","92.9%","184,886","95.1%","329,154","88.0%","160,655","86.0%","168,499","89.9%","56,161","92.3%","27,993","92.0%","28,168","92.7%"
"    Bachelor's degree or higher","49,360","22.8%","18,657","18.2%","30,703","27.1%","209,899","45.5%","93,203","41.9%","116,696","48.8%","277,484","75.4%","124,489","71.7%","152,995","78.7%","151,934","40.6%","68,250","36.6%","83,684","44.6%","24,381","40.1%","10,666","35.1%","13,715","45.1%"
"Population 35 to 44 years","184,597","(X)","84,805","(X)","99,792","(X)","358,326","(X)","170,979","(X)","187,347","(X)","239,798","(X)","120,002","(X)","119,796","(X)","329,986","(X)","164,181","(X)","165,805","(X)","62,710","(X)","30,273","(X)","32,437","(X)"
"    High school graduate or higher","137,451","74.5%","61,836","72.9%","75,615","75.8%","297,478","83.0%","140,298","82.1%","157,180","83.9%","216,482","90.3%","108,138","90.1%","108,344","90.4%","274,758","83.3%","135,689","82.6%","139,069","83.9%","57,903","92.3%","27,871","92.1%","30,032","92.6%"
"    Bachelor's degree or higher","38,114","20.6%","14,615","17.2%","23,499","23.5%","135,972","37.9%","62,680","36.7%","73,292","39.1%","153,739","64.1%","75,558","63.0%","78,181","65.3%","115,195","34.9%","53,499","32.6%","61,696","37.2%","22,671","36.2%","9,809","32.4%","12,862","39.7%"
"Population 45 to 64 years","336,421","(X)","152,646","(X)","183,775","(X)","606,669","(X)","277,493","(X)","329,176","(X)","391,052","(X)","188,547","(X)","202,505","(X)","607,052","(X)","290,515","(X)","316,537","(X)","132,374","(X)","63,215","(X)","69,159","(X)"
"    High school graduate or higher","237,685","70.7%","107,077","70.1%","130,608","71.1%","471,488","77.7%","213,601","77.0%","257,887","78.3%","330,215","84.4%","160,125","84.9%","170,090","84.0%","485,724","80.0%","232,089","79.9%","253,635","80.1%","118,871","89.8%","56,420","89.3%","62,451","90.3%"
"    Bachelor's degree or higher","60,802","18.1%","25,656","16.8%","35,146","19.1%","162,268","26.7%","74,371","26.8%","87,897","26.7%","204,520","52.3%","99,581","52.8%","104,939","51.8%","160,956","26.5%","78,083","26.9%","82,873","26.2%","38,860","29.4%","17,611","27.9%","21,249","30.7%"
"Population 65 years and over","157,995","(X)","60,703","(X)","97,292","(X)","309,263","(X)","124,093","(X)","185,170","(X)","230,155","(X)","93,190","(X)","136,965","(X)","307,903","(X)","126,776","(X)","181,127","(X)","66,389","(X)","28,070","(X)","38,319","(X)"
"    High school graduate or higher","87,631","55.5%","34,214","56.4%","53,417","54.9%","202,230","65.4%","82,530","66.5%","119,700","64.6%","171,780","74.6%","71,981","77.2%","99,799","72.9%","212,488","69.0%","89,979","71.0%","122,509","67.6%","52,931","79.7%","22,683","80.8%","30,248","78.9%"
"    Bachelor's degree or higher","21,146","13.4%","8,906","14.7%","12,240","12.6%","61,874","20.0%","28,555","23.0%","33,319","18.0%","100,815","43.8%","45,390","48.7%","55,425","40.5%","64,892","21.1%","32,113","25.3%","32,779","18.1%","13,314","20.1%","7,051","25.1%","6,263","16.3%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","212,363","(X)","98,229","(X)","114,134","(X)","776,967","(X)","373,773","(X)","403,194","(X)","734,093","(X)","353,695","(X)","380,398","(X)","696,439","(X)","339,338","(X)","357,101","(X)","250,586","(X)","119,085","(X)","131,501","(X)"
"        High school graduate or higher","156,627","73.8%","73,013","74.3%","83,614","73.3%","671,330","86.4%","323,121","86.4%","348,209","86.4%","691,751","94.2%","334,734","94.6%","357,017","93.9%","577,692","82.9%","281,708","83.0%","295,984","82.9%","226,378","90.3%","107,403","90.2%","118,975","90.5%"
"        Bachelor's degree or higher","52,230","24.6%","23,345","23.8%","28,885","25.3%","353,727","45.5%","170,262","45.6%","183,465","45.5%","552,376","75.2%","266,128","75.2%","286,248","75.2%","231,185","33.2%","112,396","33.1%","118,789","33.3%","77,585","31.0%","35,517","29.8%","42,068","32.0%"
"White alone, not Hispanic or Latino","108,860","(X)","51,817","(X)","57,043","(X)","648,387","(X)","312,589","(X)","335,798","(X)","623,514","(X)","301,723","(X)","321,791","(X)","470,098","(X)","227,290","(X)","242,808","(X)","216,143","(X)","102,485","(X)","113,658","(X)"
"    High school graduate or higher","91,281","83.9%","43,722","84.4%","47,559","83.4%","589,480","90.9%","284,866","91.1%","304,614","90.7%","612,313","98.2%","296,353","98.2%","315,960","98.2%","421,427","89.6%","204,576","90.0%","216,851","89.3%","198,170","91.7%","93,922","91.6%","104,248","91.7%"
"    Bachelor's degree or higher","38,234","35.1%","18,089","34.9%","20,145","35.3%","330,737","51.0%","160,575","51.4%","170,162","50.7%","514,670","82.5%","248,000","82.2%","266,670","82.9%","192,906","41.0%","94,789","41.7%","98,117","40.4%","70,905","32.8%","33,109","32.3%","37,796","33.3%"
"Black alone","303,573","(X)","132,105","(X)","171,468","(X)","576,737","(X)","237,385","(X)","339,352","(X)","172,682","(X)","77,722","(X)","94,960","(X)","287,599","(X)","123,505","(X)","164,094","(X)","29,783","(X)","13,027","(X)","16,756","(X)"
"    High school graduate or higher","238,137","78.4%","102,558","77.6%","135,579","79.1%","469,027","81.3%","192,298","81.0%","276,729","81.5%","137,123","79.4%","60,890","78.3%","76,233","80.3%","244,768","85.1%","104,189","84.4%","140,579","85.7%","25,539","85.8%","11,129","85.4%","14,410","86.0%"
"    Bachelor's degree or higher","62,281","20.5%","22,650","17.1%","39,631","23.1%","120,582","20.9%","44,428","18.7%","76,154","22.4%","50,067","29.0%","20,902","26.9%","29,165","30.7%","67,378","23.4%","25,291","20.5%","42,087","25.6%","7,339","24.6%","3,133","24.1%","4,206","25.1%"
"American Indian or Alaska Native alone","4,800","(X)","2,324","(X)","2,476","(X)","5,321","(X)","2,536","(X)","2,785","(X)","3,985","(X)","1,958","(X)","2,027","(X)","5,500","(X)","2,782","(X)","2,718","(X)","701","(X)","339","(X)","362","(X)"
"    High school graduate or higher","3,222","67.1%","1,558","67.0%","1,664","67.2%","3,514","66.0%","1,381","54.5%","2,133","76.6%","2,481","62.3%","1,239","63.3%","1,242","61.3%","3,801","69.1%","1,808","65.0%","1,993","73.3%","610","87.0%","269","79.4%","341","94.2%"
"    Bachelor's degree or higher","642","13.4%","329","14.2%","313","12.6%","833","15.7%","323","12.7%","510","18.3%","681","17.1%","346","17.7%","335","16.5%","963","17.5%","423","15.2%","540","19.9%","73","10.4%","37","10.9%","36","9.9%"
"Asian alone","35,642","(X)","16,738","(X)","18,904","(X)","205,558","(X)","98,513","(X)","107,045","(X)","149,245","(X)","64,540","(X)","84,705","(X)","404,911","(X)","192,284","(X)","212,627","(X)","26,923","(X)","12,633","(X)","14,290","(X)"
"    High school graduate or higher","26,870","75.4%","13,148","78.6%","13,722","72.6%","127,584","62.1%","61,252","62.2%","66,332","62.0%","122,479","82.1%","53,149","82.4%","69,330","81.8%","315,582","77.9%","153,857","80.0%","161,725","76.1%","22,813","84.7%","11,049","87.5%","11,764","82.3%"
"    Bachelor's degree or higher","12,889","36.2%","6,422","38.4%","6,467","34.2%","64,936","31.6%","31,133","31.6%","33,803","31.6%","93,629","62.7%","40,560","62.8%","53,069","62.7%","155,934","38.5%","77,448","40.3%","78,486","36.9%","11,513","42.8%","5,399","42.7%","6,114","42.8%"
"Native Hawaiian and Other Pacific Islander alone","369","(X)","160","(X)","209","(X)","347","(X)","223","(X)","124","(X)","639","(X)","287","(X)","352","(X)","740","(X)","279","(X)","461","(X)","113","(X)","81","(X)","32","(X)"
"    High school graduate or higher","307","83.2%","143","89.4%","164","78.5%","206","59.4%","142","63.7%","64","51.6%","416","65.1%","193","67.2%","223","63.4%","654","88.4%","244","87.5%","410","88.9%","96","85.0%","64","79.0%","32","100.0%"
"    Bachelor's degree or higher","36","9.8%","31","19.4%","5","2.4%","112","32.3%","67","30.0%","45","36.3%","182","28.5%","126","43.9%","56","15.9%","121","16.4%","38","13.6%","83","18.0%","32","28.3%","18","22.2%","14","43.8%"
"Some other race alone","311,654","(X)","139,851","(X)","171,803","(X)","138,664","(X)","68,199","(X)","70,465","(X)","129,932","(X)","59,324","(X)","70,608","(X)","179,847","(X)","89,173","(X)","90,674","(X)","9,800","(X)","4,626","(X)","5,174","(X)"
"    High school graduate or higher","187,538","60.2%","82,989","59.3%","104,549","60.9%","79,056","57.0%","38,676","56.7%","40,380","57.3%","80,180","61.7%","37,241","62.8%","42,939","60.8%","125,427","69.7%","60,348","67.7%","65,079","71.8%","6,675","68.1%","3,143","67.9%","3,532","68.3%"
"    Bachelor's degree or higher","35,816","11.5%","13,089","9.4%","22,727","13.2%","17,547","12.7%","7,602","11.1%","9,945","14.1%","21,844","16.8%","9,187","15.5%","12,657","17.9%","24,951","13.9%","10,583","11.9%","14,368","15.8%","1,259","12.8%","445","9.6%","814","15.7%"
"Two or more races","26,780","(X)","11,530","(X)","15,250","(X)","32,053","(X)","14,145","(X)","17,908","(X)","38,460","(X)","17,844","(X)","20,616","(X)","44,137","(X)","20,817","(X)","23,320","(X)","4,381","(X)","2,195","(X)","2,186","(X)"
"    High school graduate or higher","19,376","72.4%","8,300","72.0%","11,076","72.6%","25,774","80.4%","11,194","79.1%","14,580","81.4%","30,207","78.5%","14,072","78.9%","16,135","78.3%","34,200","77.5%","16,258","78.1%","17,942","76.9%","3,755","85.7%","1,910","87.0%","1,845","84.4%"
"    Bachelor's degree or higher","5,528","20.6%","1,968","17.1%","3,560","23.3%","12,276","38.3%","4,994","35.3%","7,282","40.7%","17,779","46.2%","7,769","43.5%","10,010","48.6%","12,445","28.2%","5,766","27.7%","6,679","28.6%","1,425","32.5%","588","26.8%","837","38.3%"
"Hispanic or Latino Origin","462,073","(X)","205,973","(X)","256,100","(X)","313,074","(X)","148,861","(X)","164,213","(X)","283,907","(X)","131,216","(X)","152,691","(X)","413,068","(X)","204,858","(X)","208,210","(X)","47,772","(X)","22,901","(X)","24,871","(X)"
"    High school graduate or higher","285,214","61.7%","125,623","61.0%","159,591","62.3%","192,203","61.4%","89,528","60.1%","102,675","62.5%","186,674","65.8%","88,084","67.1%","98,590","64.6%","286,752","69.4%","140,114","68.4%","146,638","70.4%","37,727","79.0%","17,953","78.4%","19,774","79.5%"
"    Bachelor's degree or higher","57,869","12.5%","20,881","10.1%","36,988","14.4%","48,462","15.5%","20,104","13.5%","28,358","17.3%","67,314","23.7%","30,807","23.5%","36,507","23.9%","66,736","16.2%","29,747","14.5%","36,989","17.8%","8,605","18.0%","2,992","13.1%","5,613","22.6%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","40.2%","(X)","32.3%","(X)","46.5%","(X)","34.1%","(X)","29.2%","(X)","38.3%","(X)","39.0%","(X)","34.1%","(X)","43.0%","(X)","22.6%","(X)","18.3%","(X)","26.4%","(X)","27.7%","(X)","24.9%","(X)","30.2%"
"    High school graduate (includes equivalency)","(X)","25.5%","(X)","20.1%","(X)","30.5%","(X)","22.6%","(X)","19.2%","(X)","25.5%","(X)","27.1%","(X)","25.3%","(X)","28.7%","(X)","14.8%","(X)","12.3%","(X)","17.2%","(X)","12.8%","(X)","11.6%","(X)","13.8%"
"    Some college or associate's degree","(X)","19.7%","(X)","15.2%","(X)","23.2%","(X)","16.6%","(X)","14.6%","(X)","18.3%","(X)","18.2%","(X)","16.0%","(X)","20.2%","(X)","10.9%","(X)","8.7%","(X)","12.8%","(X)","8.4%","(X)","6.7%","(X)","10.1%"
"    Bachelor's degree or higher","(X)","10.4%","(X)","9.3%","(X)","11.2%","(X)","8.5%","(X)","7.9%","(X)","9.0%","(X)","6.4%","(X)","5.8%","(X)","7.0%","(X)","6.9%","(X)","6.4%","(X)","7.3%","(X)","4.4%","(X)","3.5%","(X)","5.2%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","30,166","(X)","31,570","(X)","27,516","(X)","36,534","(X)","39,324","(X)","34,463","(X)","58,888","(X)","66,371","(X)","52,143","(X)","36,497","(X)","38,873","(X)","34,277","(X)","49,499","(X)","56,145","(X)","41,026","(X)"
"        Less than high school graduate","18,224","(X)","21,489","(X)","14,714","(X)","18,823","(X)","21,173","(X)","15,859","(X)","17,033","(X)","18,766","(X)","14,785","(X)","20,973","(X)","23,596","(X)","16,723","(X)","25,211","(X)","26,787","(X)","20,996","(X)"
"        High school graduate (includes equivalency)","25,573","(X)","28,617","(X)","21,599","(X)","27,192","(X)","31,079","(X)","23,965","(X)","25,215","(X)","27,799","(X)","21,116","(X)","28,132","(X)","31,500","(X)","23,780","(X)","36,015","(X)","46,977","(X)","25,581","(X)"
"        Some college or associate's degree","33,098","(X)","37,017","(X)","30,669","(X)","35,272","(X)","39,644","(X)","31,958","(X)","34,707","(X)","39,403","(X)","30,931","(X)","37,252","(X)","41,429","(X)","33,886","(X)","46,256","(X)","57,988","(X)","37,210","(X)"
"        Bachelor's degree","42,198","(X)","45,031","(X)","41,345","(X)","51,429","(X)","54,782","(X)","49,139","(X)","71,174","(X)","83,445","(X)","61,203","(X)","50,495","(X)","52,057","(X)","47,136","(X)","61,417","(X)","70,603","(X)","52,217","(X)"
"        Graduate or professional degree","60,031","(X)","61,384","(X)","58,953","(X)","65,460","(X)","72,127","(X)","61,579","(X)","90,387","(X)","109,767","(X)","75,601","(X)","64,781","(X)","70,554","(X)","61,360","(X)","72,111","(X)","81,140","(X)","66,783","(X)"
