"    Population 35 to 44 years","180,518","(X)","84,127","(X)","96,391","(X)","357,558","(X)","171,997","(X)","185,561","(X)","234,018","(X)","116,353","(X)","117,665","(X)","306,325","(X)","152,040","(X)","154,285","(X)","59,901","(X)","28,877","(X)","31,024","(X)"
"        High school graduate or higher","140,520","77.8%","64,433","76.6%","76,087","78.9%","318,333","89.0%","152,763","88.8%","165,570","89.2%","217,992","93.2%","107,929","92.8%","110,063","93.5%","263,667","86.1%","129,308","85.0%","134,359","87.1%","54,647","91.2%","26,680","92.4%","27,967","90.1%"
"        Bachelor's degree or higher","40,247","22.3%","15,617","18.6%","24,630","25.6%","172,104","48.1%","80,917","47.0%","91,187","49.1%","162,570","69.5%","80,883","69.5%","81,687","69.4%","116,664","38.1%","51,938","34.2%","64,726","42.0%","25,989","43.4%","11,026","38.2%","14,963","48.2%"
"    Population 45 to 64 years","335,730","(X)","152,831","(X)","182,899","(X)","581,919","(X)","266,847","(X)","315,072","(X)","379,199","(X)","184,658","(X)","194,541","(X)","598,888","(X)","289,418","(X)","309,470","(X)","130,303","(X)","62,432","(X)","67,871","(X)"
"        High school graduate or higher","246,070","73.3%","114,567","75.0%","131,503","71.9%","473,307","81.3%","215,511","80.8%","257,796","81.8%","319,928","84.4%","156,357","84.7%","163,571","84.1%","492,170","82.2%","236,826","81.8%","255,344","82.5%","117,411","90.1%","54,982","88.1%","62,429","92.0%"
"        Bachelor's degree or higher","60,416","18.0%","24,474","16.0%","35,942","19.7%","181,035","31.1%","80,777","30.3%","100,258","31.8%","200,630","52.9%","96,514","52.3%","104,116","53.5%","170,420","28.5%","80,289","27.7%","90,131","29.1%","43,354","33.3%","19,692","31.5%","23,662","34.9%"
"    Population 65 years and over","189,452","(X)","74,522","(X)","114,930","(X)","367,378","(X)","150,748","(X)","216,630","(X)","276,603","(X)","113,329","(X)","163,274","(X)","368,460","(X)","156,351","(X)","212,109","(X)","79,301","(X)","34,432","(X)","44,869","(X)"
"        High school graduate or higher","117,729","62.1%","46,216","62.0%","71,513","62.2%","266,830","72.6%","111,902","74.2%","154,928","71.5%","210,096","76.0%","88,757","78.3%","121,339","74.3%","266,136","72.2%","111,977","71.6%","154,159","72.7%","64,995","82.0%","27,905","81.0%","37,090","82.7%"
"        Bachelor's degree or higher","31,686","16.7%","12,913","17.3%","18,773","16.3%","93,949","25.6%","41,601","27.6%","52,348","24.2%","133,936","48.4%","61,951","54.7%","71,985","44.1%","85,568","23.2%","40,245","25.7%","45,323","21.4%","21,142","26.7%","10,013","29.1%","11,129","24.8%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","227,750","(X)","107,974","(X)","119,776","(X)","783,732","(X)","376,281","(X)","407,451","(X)","732,236","(X)","355,807","(X)","376,429","(X)","620,068","(X)","301,917","(X)","318,151","(X)","249,372","(X)","118,896","(X)","130,476","(X)"
"        High school graduate or higher","169,005","74.2%","80,206","74.3%","88,799","74.1%","706,987","90.2%","341,227","90.7%","365,760","89.8%","692,846","94.6%","338,982","95.3%","353,864","94.0%","541,807","87.4%","260,795","86.4%","281,012","88.3%","225,313","90.4%","106,851","89.9%","118,462","90.8%"
"        Bachelor's degree or higher","56,657","24.9%","25,844","23.9%","30,813","25.7%","432,987","55.2%","209,695","55.7%","223,292","54.8%","566,941","77.4%","278,849","78.4%","288,092","76.5%","242,308","39.1%","116,203","38.5%","126,105","39.6%","91,265","36.6%","41,444","34.9%","49,821","38.2%"
"    White alone, not Hispanic or Latino","94,201","(X)","45,774","(X)","48,427","(X)","659,773","(X)","318,597","(X)","341,176","(X)","618,310","(X)","301,230","(X)","317,080","(X)","434,282","(X)","212,436","(X)","221,846","(X)","210,270","(X)","100,181","(X)","110,089","(X)"
"        High school graduate or higher","79,918","84.8%","38,906","85.0%","41,012","84.7%","613,351","93.0%","295,480","92.7%","317,871","93.2%","605,804","98.0%","296,358","98.4%","309,446","97.6%","400,143","92.1%","194,525","91.6%","205,618","92.7%","195,914","93.2%","93,153","93.0%","102,761","93.3%"
"        Bachelor's degree or higher","36,904","39.2%","18,333","40.1%","18,571","38.3%","402,485","61.0%","194,791","61.1%","207,694","60.9%","519,547","84.0%","254,042","84.3%","265,505","83.7%","204,135","47.0%","100,729","47.4%","103,406","46.6%","82,553","39.3%","37,527","37.5%","45,026","40.9%"
"    Black alone","359,027","(X)","158,221","(X)","200,806","(X)","574,467","(X)","239,707","(X)","334,760","(X)","170,988","(X)","76,886","(X)","94,102","(X)","297,663","(X)","130,249","(X)","167,414","(X)","30,478","(X)","13,774","(X)","16,704","(X)"
"        High school graduate or higher","283,266","78.9%","126,611","80.0%","156,655","78.0%","495,661","86.3%","207,800","86.7%","287,861","86.0%","143,333","83.8%","62,655","81.5%","80,678","85.7%","260,578","87.5%","112,360","86.3%","148,218","88.5%","27,529","90.3%","12,460","90.5%","15,069","90.2%"
"        Bachelor's degree or higher","70,148","19.5%","26,265","16.6%","43,883","21.9%","139,093","24.2%","50,533","21.1%","88,560","26.5%","53,047","31.0%","21,421","27.9%","31,626","33.6%","76,357","25.7%","27,750","21.3%","48,607","29.0%","8,291","27.2%","2,749","20.0%","5,542","33.2%"
"    American Indian or Alaska Native alone","5,868","(X)","2,353","(X)","3,515","(X)","4,556","(X)","2,079","(X)","2,477","(X)","N","(X)","N","(X)","N","(X)","8,536","(X)","4,745","(X)","3,791","(X)","N","(X)","N","(X)","N","(X)"
"        High school graduate or higher","4,420","75.3%","1,835","78.0%","2,585","73.5%","3,012","66.1%","1,565","75.3%","1,447","58.4%","N","N","N","N","N","N","6,359","74.5%","3,373","71.1%","2,986","78.8%","N","N","N","N","N","N"
"        Bachelor's degree or higher","615","10.5%","143","6.1%","472","13.4%","1,182","25.9%","556","26.7%","626","25.3%","N","N","N","N","N","N","1,514","17.7%","708","14.9%","806","21.3%","N","N","N","N","N","N"
"    Asian alone","38,188","(X)","17,582","(X)","20,606","(X)","222,754","(X)","104,563","(X)","118,191","(X)","161,631","(X)","70,907","(X)","90,724","(X)","440,933","(X)","206,912","(X)","234,021","(X)","37,222","(X)","17,661","(X)","19,561","(X)"
"        High school graduate or higher","30,105","78.8%","14,723","83.7%","15,382","74.6%","154,040","69.2%","73,320","70.1%","80,720","68.3%","131,718","81.5%","57,795","81.5%","73,923","81.5%","349,155","79.2%","167,010","80.7%","182,145","77.8%","30,600","82.2%","14,478","82.0%","16,122","82.4%"
"        Bachelor's degree or higher","15,307","40.1%","6,871","39.1%","8,436","40.9%","80,125","36.0%","36,021","34.4%","44,104","37.3%","108,959","67.4%","47,024","66.3%","61,935","68.3%","169,223","38.4%","79,993","38.7%","89,230","38.1%","16,399","44.1%","7,647","43.3%","8,752","44.7%"
"    Native Hawaiian and Other Pacific Islander alone","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","265,986","(X)","118,723","(X)","147,263","(X)","142,179","(X)","69,832","(X)","72,347","(X)","140,031","(X)","65,710","(X)","74,321","(X)","214,700","(X)","108,931","(X)","105,769","(X)","11,092","(X)","5,154","(X)","5,938","(X)"
"        High school graduate or higher","180,720","67.9%","81,030","68.3%","99,690","67.7%","85,759","60.3%","41,536","59.5%","44,223","61.1%","93,201","66.6%","46,343","70.5%","46,858","63.0%","153,539","71.5%","78,538","72.1%","75,001","70.9%","8,176","73.7%","3,378","65.5%","4,798","80.8%"
"        Bachelor's degree or higher","39,209","14.7%","14,656","12.3%","24,553","16.7%","20,634","14.5%","8,600","12.3%","12,034","16.6%","24,842","17.7%","12,465","19.0%","12,377","16.7%","34,865","16.2%","15,787","14.5%","19,078","18.0%","3,014","27.2%","1,283","24.9%","1,731","29.2%"
"    Two or more races","35,446","(X)","17,209","(X)","18,237","(X)","49,168","(X)","24,865","(X)","24,303","(X)","41,805","(X)","17,862","(X)","23,943","(X)","50,866","(X)","25,164","(X)","25,702","(X)","4,529","(X)","2,448","(X)","2,081","(X)"
"        High school graduate or higher","26,471","74.7%","13,180","76.6%","13,291","72.9%","42,771","87.0%","21,936","88.2%","20,835","85.7%","34,451","82.4%","14,648","82.0%","19,803","82.7%","43,671","85.9%","21,290","84.6%","22,381","87.1%","4,494","99.2%","2,446","99.9%","2,048","98.4%"
"        Bachelor's degree or higher","8,081","22.8%","3,724","21.6%","4,357","23.9%","22,830","46.4%","11,570","46.5%","11,260","46.3%","21,531","51.5%","9,211","51.6%","12,320","51.5%","17,277","34.0%","8,128","32.3%","9,149","35.6%","1,380","30.5%","540","22.1%","840","40.4%"
"    Hispanic or Latino Origin","502,485","(X)","225,848","(X)","276,637","(X)","314,231","(X)","148,925","(X)","165,306","(X)","297,113","(X)","138,816","(X)","158,297","(X)","420,903","(X)","209,188","(X)","211,715","(X)","52,903","(X)","25,439","(X)","27,464","(X)"
"        High school graduate or higher","343,389","68.3%","156,295","69.2%","187,094","67.6%","218,169","69.4%","104,725","70.3%","113,444","68.6%","211,480","71.2%","102,076","73.5%","109,404","69.1%","313,736","74.5%","153,674","73.5%","160,062","75.6%","39,949","75.5%","18,334","72.1%","21,615","78.7%"
"        Bachelor's degree or higher","74,663","14.9%","27,463","12.2%","47,200","17.1%","63,063","20.1%","29,924","20.1%","33,139","20.0%","82,169","27.7%","40,897","29.5%","41,272","26.1%","82,256","19.5%","35,429","16.9%","46,827","22.1%","12,349","23.3%","5,215","20.5%","7,134","26.0%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","36.6%","(X)","29.8%","(X)","41.8%","(X)","27.7%","(X)","22.2%","(X)","32.2%","(X)","37.6%","(X)","32.9%","(X)","41.3%","(X)","16.8%","(X)","13.0%","(X)","20.4%","(X)","18.9%","(X)","16.6%","(X)","21.4%"
"    High school graduate (includes equivalency)","(X)","23.4%","(X)","17.8%","(X)","29.2%","(X)","20.5%","(X)","17.4%","(X)","23.2%","(X)","22.0%","(X)","17.6%","(X)","26.6%","(X)","12.1%","(X)","9.9%","(X)","14.3%","(X)","7.8%","(X)","5.6%","(X)","9.7%"
"    Some college or associate's degree","(X)","19.5%","(X)","13.7%","(X)","23.9%","(X)","12.7%","(X)","11.7%","(X)","13.5%","(X)","16.8%","(X)","15.2%","(X)","18.1%","(X)","8.6%","(X)","8.1%","(X)","9.0%","(X)","5.2%","(X)","4.0%","(X)","6.4%"
"    Bachelor's degree or higher","(X)","7.4%","(X)","6.5%","(X)","8.1%","(X)","7.0%","(X)","5.2%","(X)","8.5%","(X)","4.9%","(X)","4.7%","(X)","5.1%","(X)","5.7%","(X)","4.8%","(X)","6.4%","(X)","3.7%","(X)","2.4%","(X)","4.7%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","33,473","(X)","36,988","(X)","30,855","(X)","47,345","(X)","51,488","(X)","43,078","(X)","72,404","(X)","83,470","(X)","62,419","(X)","42,761","(X)","47,124","(X)","40,614","(X)","54,122","(X)","60,826","(X)","47,437","(X)"
"        Less than high school graduate","23,139","(X)","26,490","(X)","19,788","(X)","24,669","(X)","27,250","(X)","21,129","(X)","22,839","(X)","25,670","(X)","21,484","(X)","26,782","(X)","30,345","(X)","21,846","(X)","25,746","(X)","28,048","(X)","19,161","(X)"
"        High school graduate (includes equivalency)","30,012","(X)","32,173","(X)","23,705","(X)","32,597","(X)","39,183","(X)","28,413","(X)","31,618","(X)","35,895","(X)","27,279","(X)","32,255","(X)","38,156","(X)","28,049","(X)","40,015","(X)","46,954","(X)","27,419","(X)"
"        Some college or associate's degree","35,787","(X)","41,383","(X)","31,350","(X)","41,214","(X)","45,922","(X)","38,385","(X)","39,545","(X)","42,495","(X)","32,266","(X)","41,640","(X)","46,087","(X)","39,077","(X)","51,518","(X)","61,762","(X)","41,014","(X)"
"        Bachelor's degree","50,367","(X)","53,124","(X)","47,459","(X)","67,050","(X)","71,106","(X)","62,485","(X)","85,699","(X)","100,295","(X)","74,894","(X)","59,902","(X)","61,494","(X)","55,083","(X)","66,196","(X)","76,064","(X)","58,230","(X)"
"        Graduate or professional degree","65,642","(X)","66,760","(X)","63,857","(X)","80,260","(X)","86,630","(X)","75,040","(X)","110,007","(X)","146,829","(X)","91,394","(X)","74,378","(X)","76,513","(X)","72,616","(X)","79,025","(X)","86,986","(X)","76,574","(X)"
